Date,Open,High,Low,Close
2023-01-25,1.2332,1.2399,1.2286,1.2329
2023-01-26,1.2412,1.2431,1.2346,1.2412
2023-01-27,1.2415,1.2419,1.2348,1.2415
2023-01-30,1.2401,1.2418,1.2369,1.2400
2023-01-31,1.2352,1.2370,1.2286,1.2354
2023-02-01,1.2308,1.2347,1.2303,1.2309
2023-02-02,1.2389,1.2402,1.2241,1.2390
2023-02-03,1.2222,1.2266,1.2066,1.2223
2023-02-06,1.2045,1.2078,1.2006,1.2045
2023-02-07,1.2027,1.2060,1.1963,1.2027
2023-02-08,1.2055,1.2110,1.2040,1.2055
2023-02-09,1.2073,1.2192,1.2058,1.2071
2023-02-10,1.2117,1.2138,1.2060,1.2117
2023-02-13,1.2051,1.2144,1.2033,1.2052
2023-02-14,1.2151,1.2257,1.2121,1.2152
2023-02-15,1.2175,1.2181,1.1991,1.2174
2023-02-16,1.2042,1.2074,1.1967,1.2040
2023-02-17,1.1975,1.2031,1.1917,1.1975
2023-02-20,1.2028,1.2056,1.2015,1.2030
2023-02-21,1.2037,1.2144,1.1991,1.2039
2023-02-22,1.2110,1.2136,1.2059,1.2109
2023-02-23,1.2049,1.2075,1.2013,1.2050
2023-02-24,1.2017,1.2041,1.1931,1.2018
2023-02-27,1.1951,1.2057,1.1923,1.1952
2023-02-28,1.2063,1.2143,1.2028,1.2062
2023-03-01,1.2031,1.2088,1.1967,1.2034
2023-03-02,1.2030,1.2036,1.1928,1.2030
2023-03-03,1.1950,1.2019,1.1949,1.1952
2023-03-06,1.2031,1.2048,1.1994,1.2028
2023-03-07,1.2027,1.2064,1.1853,1.2026
2023-03-08,1.1829,1.1858,1.1808,1.1828
2023-03-09,1.1849,1.1935,1.1834,1.1850
2023-03-10,1.1924,1.2110,1.1912,1.1923
2023-03-13,1.2077,1.2176,1.2052,1.2079
2023-03-14,1.2168,1.2202,1.2142,1.2171
2023-03-15,1.2152,1.2181,1.2019,1.2152
2023-03-16,1.2068,1.2117,1.2029,1.2069
2023-03-17,1.2112,1.2177,1.2103,1.2111
2023-03-20,1.2188,1.2265,1.2168,1.2188
2023-03-21,1.2275,1.2282,1.2183,1.2276
2023-03-22,1.2226,1.2296,1.2209,1.2225
2023-03-23,1.2279,1.2343,1.2267,1.2280
2023-03-24,1.2279,1.2290,1.2192,1.2282
2023-03-27,1.2242,1.2291,1.2220,1.2246
2023-03-28,1.2297,1.2349,1.2282,1.2298
2023-03-29,1.2336,1.2360,1.2305,1.2330
2023-03-30,1.2311,1.2384,1.2295,1.2314
2023-03-31,1.2387,1.2423,1.2345,1.2387
2023-04-03,1.2289,1.2420,1.2277,1.2287
2023-04-04,1.2421,1.2520,1.2396,1.2423
2023-04-05,1.2500,1.2515,1.2436,1.2498
2023-04-06,1.2465,1.2486,1.2414,1.2463
2023-04-07,1.2441,1.2456,1.2394,1.2439
2023-04-10,1.2435,1.2443,1.2349,1.2432
2023-04-11,1.2395,1.2457,1.2388,1.2392
2023-04-12,1.2430,1.2483,1.2400,1.2431
2023-04-13,1.2491,1.2537,1.2480,1.2493
2023-04-14,1.2523,1.2547,1.2414,1.2525
2023-04-17,1.2402,1.2439,1.2355,1.2400
2023-04-18,1.2374,1.2450,1.2368,1.2375
2023-04-19,1.2430,1.2473,1.2394,1.2425
2023-04-20,1.2429,1.2466,1.2406,1.2429
2023-04-21,1.2439,1.2447,1.2370,1.2441
2023-04-24,1.2448,1.2468,1.2414,1.2450
2023-04-25,1.2500,1.2507,1.2389,1.2500
2023-04-26,1.2416,1.2512,1.2404,1.2415
2023-04-27,1.2471,1.2494,1.2439,1.2471
2023-04-28,1.2501,1.2581,1.2449,1.2498
2023-05-01,1.2558,1.2570,1.2490,1.2558
2023-05-02,1.2487,1.2512,1.2437,1.2486
2023-05-03,1.2480,1.2552,1.2470,1.2477
2023-05-04,1.2569,1.2597,1.2552,1.2569
2023-05-05,1.2583,1.2651,1.2566,1.2583
2023-05-08,1.2631,1.2669,1.2628,1.2631
